x1,x2,pdf,E(x1),E(x1^2),E(x1-E(x1)),,,x1,x2,pdf_nn,E(x1),E(x1^2),,,TESTING,x,P(x),E(x),E(x^2),E(x-mux)^2,
8244.898438,-4.936789,0,0,0,0,,,8244.898438,-4.936789,0,0,0,0,,,,,,,,
8285.713867,-4.936789,0,0,0,0,,,8285.713867,-4.936789,0,0,0,0,,,,,,,,
8326.530273,-4.936789,0,0,0,0,,,8326.530273,-4.936789,0,0,0,0,,,,,,,,
8367.34668,-4.936789,0,0,0,0,,,8367.34668,-4.936789,0,0,0,0,,,,,,,,
8408.163086,-4.936789,0,0,0,0,,,8408.163086,-4.936789,0,0,0,0,,,,,,,,
8448.979492,-4.936789,0,0,0,0,,,8448.979492,-4.936789,0,0,0,0,,,,,,,,
8489.795898,-4.936789,0,0,0,0,,,8489.795898,-4.936789,0,0,0,0,,,,,,,,
8530.612305,-4.936789,0,0,0,0,,,8530.612305,-4.936789,0,0,0,0,,,,,,,,
8571.428711,-4.936789,0,0,0,0,,,8571.428711,-4.936789,0,0,0,0,,,,,,,,
8612.245117,-4.936789,0,0,0,0,,,8612.245117,-4.936789,0,0,0,0,,,,,,,,
8653.061523,-4.936789,0,0,0,0,,,8653.061523,-4.936789,0,0,0,0,,,,,,,,
8693.87793,-4.936789,0,0,0,0,,,8693.87793,-4.936789,0,0,0,0,,,,,,,,
8734.693359,-4.936789,0,0,0,0,,,8734.693359,-4.936789,0,0,0,0,,,,,,,,
8775.509766,-4.936789,0,0,0,0,,,8775.509766,-4.936789,0,0,0,0,,,,,,,,
8816.326172,-4.936789,0,0,0,0,,,8816.326172,-4.936789,0,0,0,0,,,,,,,,
8857.142578,-4.936789,0,0,0,0,,,8857.142578,-4.936789,0,0,0,0,,,,,,,,
8897.958984,-4.936789,0,0,0,0,,,8897.958984,-4.936789,0,0,0,0,,,,,,,,
8938.775391,-4.936789,0,0,0,0,,,8938.775391,-4.936789,0,0,0,0,,,,,,,,
8979.591797,-4.936789,0,0,0,0,,,8979.591797,-4.936789,0,0,0,0,,,,,,,,
7020.408203,-4.552104,0,0,0,0,,,7020.408203,-4.552104,0,0,0,0,,,,,,,,
7061.224609,-4.552104,0,0,0,0,,,7061.224609,-4.552104,0,0,0,0,,,,,,,,
7102.041016,-4.552104,0,0,0,0,,,7102.041016,-4.552104,0,0,0,0,,,,,,,,
7142.857422,-4.552104,0,0,0,0,,,7142.857422,-4.552104,0,0,0,0,,,,,,,,
7183.67334,-4.552104,0,0,0,0,,,7183.67334,-4.552104,0,0,0,0,,,,,,,,
7224.489746,-4.552104,0,0,0,0,,,7224.489746,-4.552104,0,0,0,0,,,,,,,,
7265.306152,-4.552104,0,0,0,0,,,7265.306152,-4.552104,0,0,0,0,,,,,,,,
7306.122559,-4.552104,0,0,0,0,,,7306.122559,-4.552104,0,0,0,0,,,,,,,,
7346.938965,-4.552104,0,0,0,0,,,7346.938965,-4.552104,0,0,0,0,,,,,,,,
7387.754883,-4.552104,0,0,0,0,,,7387.754883,-4.552104,0,0,0,0,,,,,,,,
7428.571289,-4.552104,0,0,0,0,,,7428.571289,-4.552104,0,0,0,0,,,,,,,,
7469.387695,-4.552104,0,0,0,0,,,7469.387695,-4.552104,0,0,0,0,,,,,,,,
7510.204102,-4.552104,0,0,0,0,,,7510.204102,-4.552104,0,0,0,0,,,,,,,,
7551.020508,-4.552104,0,0,0,0,,,7551.020508,-4.552104,0,0,0,0,,,,,,,,
7591.836914,-4.552104,0,0,0,0,,,7591.836914,-4.552104,0,0,0,0,,,,,,,,
7632.65332,-4.552104,0,0,0,0,,,7632.65332,-4.552104,0,0,0,0,,,,,,,,
7673.469238,-4.552104,0,0,0,0,,,7673.469238,-4.552104,0,0,0,0,,,,,,,,
7714.285645,-4.552104,0,0,0,0,,,7714.285645,-4.552104,0,0,0,0,,,,,,,,
7755.102051,-4.552104,0,0,0,0,,,7755.102051,-4.552104,0,0,0,0,,,,,,,,
7795.918457,-4.552104,0,0,0,0,,,7795.918457,-4.552104,0,0,0,0,,,,,,,,
7836.734863,-4.552104,0,0,0,0,,,7836.734863,-4.552104,0,0,0,0,,,,,,,,
