
===== logging start 2025-10-28 09:37:29 =====
--- Best Epoch: 354, Loss: 1.7738e-06, IC: 1.7738e-06, Res: 1.1838e-21 ---
--- Best Epoch: 367, Loss: 1.6900e-06, IC: 1.6897e-06, Res: 2.6565e-10 ---
--- Best Epoch: 382, Loss: 1.6642e-06, IC: 1.6642e-06, Res: 6.8965e-29 ---
--- Best Epoch: 383, Loss: 1.6608e-06, IC: 1.6608e-06, Res: 1.5423e-26 ---
--- Best Epoch: 388, Loss: 1.6360e-06, IC: 1.6360e-06, Res: 1.1574e-16 ---
--- Best Epoch: 389, Loss: 1.5282e-06, IC: 1.5282e-06, Res: 4.5902e-20 ---
--- Best Epoch: 393, Loss: 1.5021e-06, IC: 1.5021e-06, Res: 3.8122e-23 ---
--- Best Epoch: 400, Loss: 1.4617e-06, IC: 1.4617e-06, Res: 2.3483e-22 ---
--- Best Epoch: 410, Loss: 1.4119e-06, IC: 1.4119e-06, Res: 4.4347e-14 ---
--- Best Epoch: 411, Loss: 1.3977e-06, IC: 1.3977e-06, Res: 9.3360e-26 ---
--- Best Epoch: 414, Loss: 1.3937e-06, IC: 1.3937e-06, Res: 2.0244e-27 ---
--- Best Epoch: 417, Loss: 1.3017e-06, IC: 1.3017e-06, Res: 1.5263e-26 ---
--- Best Epoch: 428, Loss: 1.2819e-06, IC: 1.2819e-06, Res: 3.2230e-26 ---
--- Best Epoch: 433, Loss: 1.2594e-06, IC: 1.2594e-06, Res: 4.8670e-31 ---
--- Best Epoch: 442, Loss: 1.2075e-06, IC: 1.2075e-06, Res: 5.3655e-18 ---
--- Best Epoch: 458, Loss: 1.1665e-06, IC: 1.1665e-06, Res: 7.4680e-17 ---
--- Best Epoch: 459, Loss: 1.1351e-06, IC: 1.1351e-06, Res: 2.4909e-29 ---
--- Best Epoch: 472, Loss: 1.1263e-06, IC: 1.1263e-06, Res: 3.1855e-33 ---
--- Best Epoch: 483, Loss: 1.1191e-06, IC: 1.1191e-06, Res: 8.3840e-20 ---
--- Best Epoch: 488, Loss: 1.0648e-06, IC: 1.0648e-06, Res: 1.1515e-13 ---
--- Best Epoch: 495, Loss: 1.0555e-06, IC: 1.0555e-06, Res: 6.2894e-13 ---
--- Best Epoch: 497, Loss: 1.0532e-06, IC: 1.0532e-06, Res: 3.0787e-29 ---
--- Best Epoch: 505, Loss: 9.8001e-07, IC: 9.8001e-07, Res: 3.2905e-22 ---
--- Best Epoch: 507, Loss: 9.6695e-07, IC: 9.6695e-07, Res: 1.7608e-16 ---
--- Best Epoch: 509, Loss: 9.5606e-07, IC: 9.5606e-07, Res: 3.5153e-20 ---
--- Best Epoch: 575, Loss: 9.1426e-07, IC: 9.1426e-07, Res: 1.8217e-44 ---
--- Best Epoch: 581, Loss: 9.0579e-07, IC: 9.0579e-07, Res: 3.3754e-17 ---
--- Best Epoch: 582, Loss: 8.6903e-07, IC: 8.6903e-07, Res: 1.3282e-19 ---
--- Best Epoch: 588, Loss: 8.1136e-07, IC: 8.1136e-07, Res: 1.0044e-13 ---
--- Best Epoch: 592, Loss: 8.0864e-07, IC: 8.0864e-07, Res: 3.6417e-25 ---
--- Best Epoch: 595, Loss: 7.5034e-07, IC: 7.5034e-07, Res: 7.5932e-27 ---
--- Best Epoch: 608, Loss: 7.4992e-07, IC: 7.4992e-07, Res: 4.2999e-21 ---
--- Best Epoch: 613, Loss: 7.4741e-07, IC: 7.4741e-07, Res: 1.5564e-18 ---
--- Best Epoch: 625, Loss: 7.0478e-07, IC: 7.0478e-07, Res: 4.7640e-19 ---
--- Best Epoch: 634, Loss: 7.0074e-07, IC: 7.0050e-07, Res: 2.4987e-10 ---
--- Best Epoch: 639, Loss: 6.4369e-07, IC: 6.4369e-07, Res: 1.3302e-22 ---
--- Best Epoch: 662, Loss: 6.4145e-07, IC: 6.4145e-07, Res: 3.2459e-16 ---
--- Best Epoch: 670, Loss: 6.3538e-07, IC: 6.3538e-07, Res: 8.0341e-41 ---
