x1,x2,pdf
7306.122559,1.063211,0.000001
7346.938965,1.063211,0.000002
7387.754883,1.063211,0.000002
7428.571289,1.063211,0.000003
7469.387695,1.063211,0.000005
7510.204102,1.063211,0.000007
7551.020508,1.063211,0.000009
7591.836914,1.063211,0.000012
7632.653320,1.063211,0.000016
7673.469238,1.063211,0.000019
7714.285645,1.063211,0.000025
7755.102051,1.063211,0.000029
7795.918457,1.063211,0.000033
7836.734863,1.063211,0.000038
7877.550781,1.063211,0.000041
7918.367188,1.063211,0.000044
7959.183594,1.063211,0.000046
8000.000000,1.063211,0.000047
8040.816406,1.063211,0.000046
8081.632812,1.063211,0.000044
8122.449219,1.063211,0.000041
8163.265137,1.063211,0.000038
8204.082031,1.063211,0.000033
8244.898438,1.063211,0.000029
8285.713867,1.063211,0.000024
8326.530273,1.063211,0.000020
8367.346680,1.063211,0.000016
8408.163086,1.063211,0.000013
8448.979492,1.063211,0.000009
8489.795898,1.063211,0.000007
8530.612305,1.063211,0.000005
8571.428711,1.063211,0.000003
8612.245117,1.063211,0.000002
8653.061523,1.063211,0.000001
8693.877930,1.063211,0.000001
8734.693359,1.063211,0.000001
8775.509766,1.063211,0.000000
8816.326172,1.063211,0.000000
8857.142578,1.063211,0.000000
8897.958984,1.063211,0.000000
8938.775391,1.063211,0.000000
8979.591797,1.063211,0.000000
7020.408203,1.762868,0.000000
7061.224609,1.762868,0.000000
7102.041016,1.762868,0.000000
7142.857422,1.762868,0.000000
7183.673340,1.762868,0.000000
7224.489746,1.762868,0.000000
7265.306152,1.762868,0.000000
7306.122559,1.762868,0.000000
7346.938965,1.762868,0.000000
7387.754883,1.762868,0.000000
7428.571289,1.762868,0.000000
7469.387695,1.762868,0.000000
7510.204102,1.762868,0.000000
7551.020508,1.762868,0.000000
7591.836914,1.762868,0.000000
7632.653320,1.762868,0.000000
7673.469238,1.762868,0.000000
7714.285645,1.762868,0.000000
7755.102051,1.762868,0.000000
7795.918457,1.762868,0.000000
7836.734863,1.762868,0.000000
7877.550781,1.762868,0.000000
7918.367188,1.762868,0.000000
